epoch,acc,loss,lr,val_acc,val_loss
0,0.3476121985289601,6.718827729227843,1e-04,0.01886792452891576,9.274957487293806
1,0.8995893523452693,2.175374304289328,1e-04,0.023317129439519697,10.274986211929642
2,0.991390990765639,0.37915981825015344,1e-04,0.02504737579302958,10.576417174382119
3,0.9998957747066058,0.043639721429758256,1e-04,0.02381148554008404,10.603757760292362
4,1.0,0.00899320173120791,1e-04,0.023069951388316717,10.647241612129749
5,1.0,0.00354819909226424,1e-04,0.024141056274202852,10.59721053906796
6,1.0,0.002280621641342986,1e-05,0.024058663590673147,10.624510599280775
7,1.0,0.0018809834755957127,1e-05,0.023646700173024636,10.67962834987686
8,1.0,0.0014892261959651974,1e-05,0.024305841641262257,10.676137287573317
9,1.0,0.0011347929231478174,1e-05,0.023646700173024636,10.698326271213023
10,1.0,0.0008682300664610767,1e-05,0.02298755870540089,10.820456789580426
11,1.0,0.0006753996079511397,1e-06,0.025541731894207793,10.758245919321812
12,1.0,0.0006292387515422889,1e-06,0.02323473675537612,10.776465855114658
13,1.0,0.000589697278503417,1e-06,0.02339952212243553,10.819429945099087
14,1.0,0.0005493099650050218,1e-06,0.024635412375381065,10.7869919123716
15,1.0,0.0005511151297676109,1e-06,0.02315234407184642,10.793392155545051
16,1.0,0.0004947117674843563,1e-07,0.0256241245777375,10.768546715672192
17,1.0,0.0005009638265366532,1e-07,0.023234736755989995,10.800970953006058
18,1.0,0.0004930933658458765,1e-07,0.02274038065419791,10.815437447016032
19,1.0,0.0004861265394472545,1e-07,0.024964983109499878,10.811832258883424
20,1.0,0.0004947705235141765,1e-07,0.02381148554008404,10.797010816753406
21,1.0,0.00048552355503167716,1e-08,0.023646700173024636,10.828493584947728
22,1.0,0.00048404936574204295,1e-08,0.02381148554008404,10.802914788540892
23,1.0,0.00048091354447145324,1e-08,0.02372909285716821,10.793848545162154
24,1.0,0.00048496130061782816,1e-08,0.02323473675537612,10.794674539483536
